Link No.,Link or Connector,Link Width (m),Lane No.,Start x,Start y,Start zOffset,End x,End y,End zOffset
10056,connector,3.5,1,-1352.3244389924832,-9.69417402668837,0.0,-1317.6548473145451,-5.807732281737771,0.0
10057,connector,3.5,1,-1201.151093140556,-112.9948897228174,0.0,-1203.7820799025637,-68.11493762634699,0.0
10058,connector,3.5,1,-1201.1141130274643,-89.01509939140918,0.0,-1195.4326159224072,-68.28051780107073,0.0
10059,connector,3.5,1,-1194.266412649098,-28.296405573327554,0.0,-1187.9759327336565,-17.289089430120605,0.0
10060,connector,3.5,1,-1207.3737490080807,87.03011825142681,0.0,-1213.1002791299302,50.95167018840215,0.0
10061,connector,3.5,1,-1206.5602378996873,105.9847883088363,0.0,-1204.3009886575603,69.06884570583344,0.0
10062,connector,10.5,3,-1187.2567975109507,5.934515366178117,0.0,-1220.0454039474234,6.112367405882703,0.0
10063,connector,10.5,3,-1218.881653275904,-13.862108471655668,0.0,-1188.2889207627227,-13.788313716792295,0.0
10064,connector,3.5,1,-1208.3614031380848,22.15588198752171,0.0,-1207.962389381354,-28.319541255645753,0.0
10065,connector,3.5,1,-1199.8780567553167,-27.984820954116785,0.0,-1200.8498915648393,21.817329644176613,0.0
10066,connector,3.5,1,-1219.730947474294,-17.356462204227665,0.0,-1207.9623857502909,-28.31766218050377,0.0
10067,connector,3.5,1,-1213.5007988081375,21.313214001054224,0.0,-1220.754693469026,9.600035451436655,0.0
10068,connector,3.5,1,-981.7854651975535,5.513347424360607,0.0,-1027.4518437050162,13.155493249695438,0.0
10069,connector,3.5,1,-1188.293432231155,15.274218916660265,0.0,-1200.8536225548448,22.500847013212475,0.0
10070,connector,3.5,1,-1204.432610224107,20.553136276649063,0.0,-1187.4359329421777,-10.290388800162303,0.0
10071,connector,3.5,1,-1203.9464951351008,-28.490866584881594,0.0,-1220.3702693418775,2.6058737247209183,0.0
10072,connector,3.5,1,-1219.23154401866,-6.615896977575229,0.0,-1200.855923123487,22.922311188432797,0.0
10073,connector,3.5,1,-1071.8636949530949,2.599162264602184,0.0,-1114.140010120937,-0.6603285293482712,0.0
10074,connector,3.5,1,-1188.3725390090076,-1.7184279221352348,0.0,-1207.9635413447515,-28.915682313949493,0.0
