,Link No.,Link or Connector,Link Width (m),Lane No.,Start x,Start y,Start zOffset,End x,End y,End zOffset,flow,intersection,Start Lat,Start Lon,Start Alt,End Lat,End Lon,End Alt
88,10035,connector,10.5,3,-403.4085865897744,-16.396865374887767,0.0,-372.7122667049333,-15.165811174894335,0.0,ib,4,-6.268932016906351,36.242352159724916,540.1227626400068,-6.268590547419752,36.24236326533005,540.1208942942321
89,10036,connector,3.5,1,-394.4467669701995,16.363691507412312,0.0,-391.9926686148167,-29.187818922904825,0.0,ob,3,-6.268832340895987,36.24264737557114,540.1222027307376,-6.268805018266938,36.24223690249117,540.1220975602046
90,10037,connector,3.5,1,-384.1233768260373,-29.32497174990263,0.0,-385.3350260870965,17.043605073369136,0.0,ob,3,-6.268717479247042,36.24223566973725,540.121620008722,-6.268730980594093,36.242653506087244,540.121648222208
91,10038,connector,3.5,1,-801.2617143976216,65.93676407780042,0.0,-804.8156002105161,48.64850280309484,0.0,ib,2,-6.273357873865986,36.24309383717059,540.1606084741652,-6.2733973903855516,36.24293804613841,540.1608995851129
92,10039,connector,3.5,1,-800.7527760644881,86.07493696380078,0.0,-796.5453226821528,61.575753846844464,0.0,ib,2,-6.273352232903658,36.24327530680737,540.160785366781,-6.2733054031472015,36.24305454310773,540.1599747277796
93,10040,connector,3.5,1,-782.8384177122967,-85.98827218825578,0.0,-779.3167010817654,-66.58227609131063,0.0,ib,2,-6.273152776791536,36.2417248243569,540.1585630616173,-6.273113620356745,36.241899698661896,540.1578994989395
94,10041,connector,3.5,1,-782.6378244840424,-119.68793453499136,0.0,-786.7986880453465,-85.62476559605298,0.0,ib,2,-6.27315051170645,36.24142114985311,540.1590835303068,-6.273196831394393,36.241728096775574,540.1590448496863
95,10042,connector,3.5,1,-959.9004273214804,-14.697027405732506,0.0,-927.0288288281076,-11.34582730732183,0.0,ib,2,-6.275122510470878,36.24236708495544,540.1821581292897,-6.2747568462064836,36.24239731539041,540.1772949481383
96,10043,connector,3.5,1,-668.4187851362836,-3.0038138357573065,0.0,-707.3212264691471,-6.751340408389568,0.0,ib,2,-6.271880038116683,36.242472700381846,540.1449813563377,-6.272312791485021,36.242438902966576,540.1491745207459
97,10044,connector,3.5,1,-780.6992279172807,-32.611616704359825,0.0,-773.3999873988129,-21.856115355048622,0.0,ib,3,-6.273129033549526,36.24220581419887,540.1578033771366,-6.273047846570788,36.24230274011403,540.1568691572174
98,10045,connector,3.5,1,-779.0690703777005,3.6654243648806055,0.0,-790.9777634236787,15.202751024212615,0.0,ob,2,-6.273110935574929,36.24253271543227,540.1575217237696,-6.273243421464925,36.24263667099501,540.1590027278289
99,10046,connector,3.5,1,-804.1884260842548,13.25531709889351,0.0,-811.8863041793867,3.389428953663112,0.0,ob,2,-6.273390377218852,36.24261911136746,540.1606482835487,-6.273475999532621,36.242530201378656,540.161609380506
100,10047,connector,3.5,1,-806.5608698715544,-23.542692063803194,0.0,-795.1308120475314,-32.638043500090006,0.0,ob,2,-6.273416730800802,36.242287514926446,540.1609772481024,-6.273289572142246,36.2422055643003,540.159584062174
101,10048,connector,3.5,1,-777.878223409831,-8.43094993825871,0.0,-795.1731120246897,-31.39019417392069,0.0,ob,2,-6.273097676384876,36.24242371346301,540.1573810921982,-6.273290043959086,36.2422168088941,540.159583046101
102,10049,connector,3.5,1,-806.2343355002547,-12.683239576267814,0.0,-790.8462968885142,13.155629262366537,0.0,ob,2,-6.273413109570066,36.24238537197113,540.1609050799161,-6.273241956940662,36.24261822406587,540.1589818811044
103,10050,connector,3.5,1,-794.6576998905302,13.365821499391863,0.0,-776.2336940901854,-14.82242721940437,0.0,ib,3,-6.273284355866737,36.24262011502622,540.1594554502517,-6.273079376063832,36.24236611986162,540.1571926772594
104,10051,connector,3.5,1,-791.3096284229573,-31.95476068493329,0.0,-809.6871259917407,-3.5695734171606914,0.0,ob,2,-6.273247065541919,36.24221172463831,540.159105964005,-6.273451528323036,36.24246749421504,540.161330270581
105,10052,connector,10.5,3,-778.5537505956032,0.1669492919499574,0.0,-809.2787043118707,-0.0610720245623854,0.0,ob,2,-6.273105199595997,36.24250119036588,540.1574578238651,-6.273446988603156,36.242499110387904,540.1612774990499
106,10053,connector,10.5,3,-805.6090998237169,-20.042692063803194,0.0,-776.3755997770659,-18.321004579813604,0.0,ib,3,-6.2734061467894415,36.24231905494405,540.1608451157808,-6.273080951174158,36.24233459334355,540.1572190457955
107,10054,connector,3.5,1,-787.0801053654859,-32.31198617820446,0.0,-790.8278113581879,12.867783147284158,0.0,ob,2,-6.273200015473188,36.242208509057946,540.1585850892588,-6.273241751013728,36.24261563024023,540.1589790023863
108,10055,connector,3.5,1,-798.120906117182,13.096274588188171,0.0,-795.1724668850502,-31.409225793283863,0.0,ob,2,-6.273322880904003,36.24261768323057,540.1598867727444,-6.273290036763154,36.242216637396766,540.1595830591395
109,10056,connector,3.5,1,-1352.3244389924832,-9.69417402668837,0.0,-1317.6548473145451,-5.807732281737771,0.0,ib,1,-6.279487898291667,36.24241169743525,540.2531907288358,-6.279102235264696,36.24244676683729,540.2459385059774
110,10057,connector,3.5,1,-1201.151093140556,-112.9948897228174,0.0,-1203.7820799025635,-68.11493762634699,0.0,0,0,-6.2778060656263674,36.24148103291127,540.2239643717185,-6.277835401740734,36.241885452207605,540.2238205838948
111,10058,connector,3.5,1,-1201.1141130274643,-89.01509939140918,0.0,-1195.4326159224072,-68.28051780107073,0.0,ib,1,-6.277805691035452,36.24169711983118,540.2235764823854,-6.277742521461413,36.24188397049014,540.222253954038
112,10059,connector,3.5,1,-1194.266412649098,-28.296405573327554,0.0,-1187.9759327336565,-17.289089430120605,0.0,ib,2,-6.277729609506489,36.2422442770474,540.2217320911586,-6.277659650140981,36.242343473998964,540.2205193545669
113,10060,connector,3.5,1,-1207.3737490080807,87.03011825142681,0.0,-1213.1002791299302,50.95167018840215,0.0,ib,1,-6.27787559490398,36.2432834918353,540.2247293787077,-6.277939242477905,36.24295837435714,540.2254231413826
114,10061,connector,3.5,1,-1206.5602378996873,105.9847883088363,0.0,-1204.3009886575603,69.06884570583344,0.0,ib,1,-6.2778665743906075,36.243454297270866,540.2248633243144,-6.277841385071944,36.24312164295218,540.2239287011325
115,10062,connector,10.5,3,-1187.2567975109507,5.934515366178117,0.0,-1220.0454039474234,6.112367405882703,0.0,ob,1,-6.277651685589827,36.24255274758139,540.2203648826107,-6.278016431739021,36.24255430942129,540.2265449920669
116,10063,connector,10.5,3,-1218.881653275904,-13.862108471655668,0.0,-1188.288920762723,-13.788313716792295,0.0,ib,2,-6.278003454896656,36.24237431676259,540.2263349425048,-6.277663137173924,36.24237501982773,540.2205690303817
117,10064,connector,3.5,1,-1208.3614031380848,22.15588198752171,0.0,-1207.962389381354,-28.319541255645756,0.0,ob,1,-6.277886481736283,36.242698895514096,540.2243591686711,-6.277881965178885,36.242244051551715,540.2243081489578
118,10065,connector,3.5,1,-1199.8780567553167,-27.984820954116785,0.0,-1200.8498915648393,21.817329644176613,0.0,ob,1,-6.277792034594268,36.24224707785266,540.2227826043963,-6.277802921766532,36.242695854108376,540.2229411173612
119,10066,connector,3.5,1,-1219.730947474294,-17.356462204227665,0.0,-1207.9623857502909,-28.31766218050377,0.0,ob,1,-6.278012897121825,36.24234282734791,540.2265056762844,-6.277881965141393,36.24224406848447,540.2243081387132
120,10067,connector,3.5,1,-1213.5007988081377,21.313214001054224,0.0,-1220.754693469026,9.600035451436655,0.0,ob,1,-6.277943652023045,36.24269129562192,540.2253308109939,-6.278024327429353,36.242585736622296,540.226684845984
121,10068,connector,3.5,1,-981.7854651975535,5.513347424360607,0.0,-1027.4518437050162,13.155493249695438,0.0,ib,1,-6.275365988010117,36.24254918284166,540.1854705652222,-6.275873998355003,36.242618000341885,540.1926656570286
